      attendance,binary,"[""Mandatory"",""Not Mandatory""]","some ""N/A""s"
      clarityColor,categorical,"[""poor"",""average"",""good""]",
      easyColor,categorical,"[""poor"",""average"",""good""]",
      helpColor,categorical,"[""poor"",""average"",""good""]",
      helpCount,numeric,,
      id,numeric id,,
      notHelpCount,numeric,,
      onlineClass,binary,"[""online"", """"]",
      quality,categorical,"[""poor"",""average"",""good""]",
      rClarity,numeric,,
      rClass,text,,
      rComments,text,,
      rDate,date,,
      rEasy,numeric,,
      rErrorMsg,,null,
      rHelpful,numeric,,
      rInterest,categorical,"[""Meh"",""Low"",""Sorta Interested"",""Really into it"",""It's my life""]","some ""N/A""s"
      rStatus,numeric,,
      rTextBookUse,categorical,"[""What textbook?"",""Barely cracked it open"",""You need it sometimes"",""It's a must have"",""Essential to passing""]","some ""N/A""s"
      sId,numeric id,,
      takenForCredit,binary,"[""Yes"",""No""]","some ""N/A""s"
      teacher,,null,
      teacherGrade,categorical,"[""A+"",""A"",""A-"",""B+"",""B"",""B-"",""C+"",""C"",""C-"",""D+"",""D"",""D-"",""F"",""WD"",""Incomplete"",""Not sure yet"",""Rather not say"",""Audit/No Grade""]","some ""N/A""s"
